parent_income,assets,family_size,student_earnings,high_school_gpa,college_savings,loan_debt,extracurriculars,volunteer_hours,aid_amount
65270,122235,7,7258,3.4262718224765347,24023,25588,9,247,36491
37075,58225,2,7073,2.8756280574907658,69111,4049,9,456,3153
65218,107842,8,11116,2.532675656066915,83999,13201,6,161,38733
82253,147336,5,21230,2.4919188416511955,53675,27546,2,58,21384
192014,115348,9,3989,3.018277078592604,10885,887,7,369,29618
176421,163167,2,3306,2.7630873654478636,11554,43073,7,324,28895
112423,177311,3,29272,3.2668073866896763,24557,46102,9,319,12011
189882,6142,5,2877,3.143492849789081,77610,34508,5,215,33611
116408,134545,9,5402,3.542418820886655,53193,7016,6,220,49537
155163,142713,7,23374,3.61533138104957,88805,45019,0,375,27273
53890,63825,9,29824,2.4434027428498855,41273,45664,2,157,41577
157971,143341,2,28168,3.394658763275751,11949,17827,2,98,36573
93915,6906,3,27421,3.561293200980879,23455,5118,3,262,31250
58684,140751,4,19914,3.6240274568282462,48503,29387,7,200,22731
187654,89336,5,12774,3.6901232871232077,12957,34381,0,441,16450
161766,68879,1,20066,2.81992506394028,28409,25797,9,146,35578
68725,15052,5,10767,3.883329758549981,28583,8784,2,26,25743
190390,71534,2,3378,2.0502872138983257,14305,46172,7,152,10608
90391,30948,8,12281,3.127154916313046,1557,12019,2,361,41351
72086,159005,3,11500,2.2704861924005826,70261,42339,0,28,15347
36461,50795,6,3040,3.1975658033384073,89166,41096,6,298,16393
141073,140942,4,6765,3.975840859993551,29143,41622,1,34,12069
95433,9554,5,11868,3.584040065114164,91697,38595,1,305,4076
96621,43717,6,22800,3.4448205692727667,62400,47752,5,488,39443
115716,30978,3,17258,2.165956217820706,24406,30506,4,436,49524
170359,123010,4,14089,3.5531034012148677,57291,24345,3,332,25416
52210,169180,6,3023,2.278003693119098,5433,45009,4,285,5509
168250,119206,7,12438,2.0039007564727775,19082,32400,5,60,6589
195452,39634,5,4977,3.4350614603841785,74863,5869,1,19,14635
180104,171380,8,13047,2.7165493338246423,71427,1519,3,426,26716
96172,35910,2,19986,3.6593871130719697,13302,41237,6,28,21986
62299,49423,9,11826,3.5036012450870295,34680,16831,4,459,29635
65061,36410,1,12958,3.1024675909234034,55585,16316,9,144,36579
46746,156450,3,8921,2.7017912871923073,12649,41159,3,333,8319
69081,154904,2,23183,3.899851845138503,95940,47504,8,365,38213
57793,134904,7,16033,2.9555425102397996,1831,24609,3,104,33781
170672,6930,7,12808,3.2273110523608945,60693,7036,6,137,27086
132745,111389,6,20728,3.1038444648638506,31914,1087,0,208,26315
98618,54490,7,10446,3.711862030874549,30317,33939,6,301,3456
84814,31443,2,2292,2.202467031945467,26609,36712,0,15,36945
22747,48197,1,9191,2.579589096936391,5617,14267,9,127,30675
130157,42473,6,22587,2.720597728737847,97220,26402,9,350,33247
148647,117456,1,59,2.2341935338966357,24669,8838,1,181,26327
51812,85662,2,18700,3.9920531952011657,59384,39375,3,77,41639
58682,142859,4,5991,2.981112675076857,82383,3250,9,336,43640
34256,166418,5,8258,3.463528697211454,63377,44808,1,177,35701
30674,33075,1,5720,3.2341011904012373,74120,3187,0,85,17682
27241,13534,6,25131,2.8711257396549046,60780,14429,4,420,28381
96098,26088,9,11541,3.076179956558624,35944,21197,3,40,15766
127339,172724,6,3263,3.016221462833083,63851,21965,8,93,26540
82400,157983,6,6299,2.8606713243259385,93108,23505,4,240,23169
163409,153373,7,9041,3.884049041494965,73284,1302,9,263,48370
197888,5482,2,22333,2.5465683434458155,24032,30095,2,438,30095
78683,105019,8,25948,2.2234971428183887,59886,41637,9,491,11928
45426,1606,4,2114,2.966938998254973,23490,35707,5,224,25137
198225,109037,9,4900,3.4010222693313343,29987,12433,1,0,4918
122407,104418,2,5886,3.168174969786654,13218,18629,6,263,45937
111323,143894,8,28165,2.750888884771617,19945,49690,1,181,32482
74468,61492,5,6099,2.980899757434651,98750,40547,6,333,40094
198445,110226,7,24061,3.1268152837249574,96884,39591,1,145,13266
147978,197574,1,5898,2.4027357938909786,71172,18399,2,311,24271
84214,137837,7,28264,3.0883677877033877,31361,37343,4,98,12794
93492,120305,1,3476,3.2839572486529702,38898,24501,5,489,13421
170383,33954,4,1020,2.2503207024327105,39813,4173,9,103,25572
161175,6769,7,5972,2.7705352565398655,1867,32192,9,471,32008
99173,44268,8,18317,3.735969128691928,62008,34531,2,196,15090
106016,68653,3,14403,3.032724134169461,40975,9048,2,350,29314
137710,98422,8,27818,3.0010938914274266,68935,49195,4,213,46888
64671,49374,2,5260,3.9261867625252274,35484,33745,5,387,33195
30426,37356,5,14401,3.767759523532449,19973,31748,0,266,7639
36188,194482,2,22023,3.34603661337969,16854,13855,3,387,21445
162238,157801,7,22789,3.487536105880283,21350,13371,4,17,10580
179679,58541,2,26426,3.181554183447089,86759,11303,2,495,32060
75851,86829,9,16,2.8070430827227044,56663,25146,7,466,46583
93583,189582,2,15169,2.777572264673334,70913,6933,8,204,11234
173464,3165,2,8898,2.3089011416726537,60831,47215,2,9,29891
191126,109726,5,12312,3.995712804743401,61233,48598,4,238,21908
78000,130446,3,25326,2.540064634610932,21215,36075,8,130,46953
170746,109605,5,14767,2.031058095864836,83466,37403,2,200,25577
164364,188677,8,2669,3.2787436756994066,69217,47073,6,128,49957
102854,34639,4,1048,3.269034246291117,92989,5015,1,321,8972
118434,111209,6,23577,2.552176105156038,77188,34096,5,463,24342
85660,120779,2,5832,3.2965220187697675,33944,13208,1,432,16685
195018,105632,2,27384,3.96074273069404,42388,21198,8,272,19402
120153,23995,3,24160,3.273393806652801,51433,3101,6,247,31220
87991,2965,4,14194,2.9724758605302055,20339,40873,8,474,17459
26129,29018,5,2998,3.217353279205109,81120,42368,6,24,40414
174944,52777,8,9510,2.369000575931999,86987,15664,7,277,3841
196972,167920,5,18591,3.504861709143092,60898,47403,8,39,25896
164750,56535,5,11351,2.6299421638822387,58684,298,6,11,21063
181082,172284,8,26254,3.237925600207296,64831,42939,9,280,37282
115807,72491,3,13159,3.2404119700963183,22101,28154,3,199,24172
176230,137718,1,6033,3.5455330969484633,39383,37984,8,35,16654
165861,28345,2,29257,3.540613234468232,14431,12146,8,278,22135
178143,1866,5,4718,3.9879321475126006,6599,5157,0,416,3998
25752,117557,3,24550,3.322565394226454,23598,15988,5,396,41789
191772,65196,3,6601,3.7108499906933954,95244,14992,5,268,13326
181807,10100,9,4952,2.136981684031471,49147,939,2,226,19414
149739,166102,4,25152,3.6231675004553656,1819,22338,5,80,1739
95327,190329,4,9666,2.9341841348740294,48752,4036,0,59,44338
33690,134385,4,13894,3.7528179416399143,88632,16533,1,101,25515
186128,145994,8,3479,2.432943269067944,33259,23104,4,12,4120
144810,7788,2,16970,2.794306031061317,70112,176,7,26,10195
40040,172067,6,6971,3.445779377797267,98311,15142,5,124,48186
